10000000 200000
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
1 3 20
